127.0.0.1 - - [12/Dec/2024:11:21:05 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:21:07 +0530] "GET /GenSeaTech/home.jsp HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:21:07 +0530] "GET /GenSeaTech/assets/namelogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:21:13 +0530] "GET /GenSeaTech/home.jsp HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:21:16 +0530] "GET /GenSeaTech/home.jsp HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:21:17 +0530] "GET /GenSeaTech/connectus.jsp HTTP/1.1" 200 5957
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:21:56 +0530] "GET /GenSeaTech/home.jsp HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:22:00 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 4937
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:22:53 +0530] "GET /GenSeaTech/home.jsp HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:22:55 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:22:55 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:22:58 +0530] "GET /GenSeaTech/products.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:23:00 +0530] "GET /GenSeaTech/connectus.jsp HTTP/1.1" 200 5957
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:23:01 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 4937
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:23:42 +0530] "GET /GenSeaTech/products.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:23:43 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:23:46 +0530] "GET /GenSeaTech/products.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:23:47 +0530] "GET /GenSeaTech/connectus.jsp HTTP/1.1" 200 5957
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:24:06 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 4937
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:31:42 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 5911
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:31:42 +0530] "GET /GenSeaTech/assets/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:33:56 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6087
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:33:56 +0530] "GET /GenSeaTech/assets/mission-icon.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:33:56 +0530] "GET /GenSeaTech/assets/vision-icon.png HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:38:39 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6449
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:38:39 +0530] "GET /GenSeaTech/assets/mission-icon.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:38:39 +0530] "GET /GenSeaTech/assets/vision-icon.png HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:45:15 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6439
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:45:15 +0530] "GET /GenSeaTech/assets/vision.jpg HTTP/1.1" 200 428078
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:45:15 +0530] "GET /GenSeaTech/assets/mission.jpg HTTP/1.1" 200 1615674
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:54:40 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6486
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:54:40 +0530] "GET /GenSeaTech/assets/vision.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:54:40 +0530] "GET /GenSeaTech/assets/mission.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:55:55 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6486
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:55:55 +0530] "GET /GenSeaTech/assets/vision.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:55:55 +0530] "GET /GenSeaTech/assets/mission.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:56:19 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:56:20 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:56:21 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:56:37 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:56:38 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:56:39 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:56:54 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:56:56 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:56:57 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:56:58 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:56:58 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:56:59 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:57:17 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:57:17 +0530] "GET /GenSeaTech/assets/mission.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:57:17 +0530] "GET /GenSeaTech/assets/vision.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:57:18 +0530] "GET /GenSeaTech/connectus.jsp HTTP/1.1" 200 5957
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:58:18 +0530] "GET /GenSeaTech/connectus.jsp HTTP/1.1" 200 5924
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:58:27 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:58:38 +0530] "GET /GenSeaTech/connectus.jsp HTTP/1.1" 200 5924
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:58:41 +0530] "GET /GenSeaTech/products.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:58:42 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:58:43 +0530] "GET /GenSeaTech/home.jsp HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [12/Dec/2024:11:58:46 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:02:19 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 4804
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:02:19 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:02:19 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:02:19 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:04:01 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 4803
